ra	dec	g	r	i	z	y
146.19388438	34.63181291	24.32	22.84	21.61	21.22	20.58
146.17400726	34.63733260	16.87	16.11	15.95	15.84	15.68
146.21169261	34.63430262	21.58	20.20	19.00	18.26	18.02
146.16355720	34.64841311	23.03	21.98	21.47	21.21	21.31
146.23538182	34.68015897	22.75	21.87	20.45	19.88	19.51
146.23929249	34.67594655	22.17	20.85	19.10	18.38	17.99
146.26237201	34.67870180	20.87	19.65	18.73	18.35	18.15
146.26548025	34.68046010	22.57	21.30	20.16	19.67	19.40
146.22801819	34.71743996	18.94	18.77	18.63	18.64	18.55
146.28703789	34.72387474	20.28	20.08	19.99	19.99	20.07
146.13127613	34.73159783	19.50	18.34	17.59	17.27	17.07
146.13783178	34.72674722	24.84	22.49	21.92	21.92	21.17
146.11353206	34.75257909	22.75	22.18	22.17	22.13	21.46
146.12632103	34.75714690	23.00	22.27	21.89	21.58	21.15
146.13085388	34.75469845	23.37	22.56	21.01	20.53	20.18
146.16982188	34.75415570	20.18	19.13	18.46	18.27	18.00
146.19252606	34.75650737	22.89	21.75	20.58	20.03	19.68
146.22577274	34.75299015	21.32	20.19	19.56	18.91	18.69
146.19447082	34.64477514	21.17	20.80	20.67	20.57	20.69
146.22762606	34.64592364	19.29	18.07	17.24	16.98	16.80
146.24241366	34.64822671	20.37	19.01	18.32	17.96	17.78
146.12543345	34.65565482	21.09	19.96	18.85	18.46	18.20
146.15462663	34.65292799	19.59	18.34	17.56	17.24	17.04
146.16914456	34.65022092	23.80	22.54	22.08	21.62	21.55
146.10679092	34.69043340	23.10	22.10	21.74	21.57	21.84
146.14265511	34.68605744	21.47	21.20	21.10	20.94	20.97
146.14756803	34.68716946	17.72	17.48	17.41	17.40	17.38
146.19732273	34.73248299	22.24	21.97	21.79	21.72	21.66
146.20327657	34.72926877	19.02	17.88	17.05	16.72	16.52
146.21688338	34.72711499	21.58	20.40	19.08	18.29	17.98
146.24876133	34.72656527	23.34	21.70	20.75	20.20	20.12
146.12607164	34.73862988	25.97	23.38	21.40	20.63	20.40
146.13317203	34.73971631	21.02	19.82	19.27	19.01	18.71
146.23887776	34.74995577	22.70	22.13	22.15	21.96	21.83
146.25916417	34.74957001	22.44	21.93	21.88	21.71	21.97
146.26481506	34.75130775	22.11	22.01	21.71	21.55	21.40
146.12086285	34.76488903	23.51	22.53	21.82	21.74	20.87
146.12838645	34.76532382	22.35	21.50	21.26	21.04	20.93
146.16525728	34.75934782	22.07	20.81	19.64	19.13	18.80
146.18268481	34.76009603	16.74	15.80	15.42	15.36	15.18
146.18428113	34.76324209	20.72	19.66	19.25	19.12	18.91
146.19861385	34.76075435	21.96	21.49	21.34	21.45	21.05
146.22338376	34.75973353	21.11	20.87	20.97	20.86	20.77
146.19493161	34.65280458	22.28	21.18	20.14	19.59	19.44
146.27169873	34.65613103	22.81	21.96	21.72	21.44	21.72
146.13131848	34.66386019	22.04	20.88	19.75	19.29	18.96
146.13789580	34.65969330	21.35	20.02	18.63	17.98	17.68
146.29335327	34.69842419	23.56	21.89	21.11	20.78	20.73
146.13777709	34.70432644	22.43	21.88	21.54	21.34	21.18
146.15196398	34.70064483	23.67	22.44	21.62	21.14	21.21
146.18018990	34.70310317	19.50	18.88	18.72	18.67	18.56
146.19118292	34.70674084	20.93	19.76	18.56	18.03	17.83
146.19653096	34.70455980	24.04	22.73	21.47	21.27	21.11
146.16582356	34.78402690	24.62	22.34	21.69	21.76	21.38
146.17182826	34.78677905	23.37	22.70	22.18	21.73	23.27
146.18565441	34.65857157	21.78	20.61	19.56	19.01	18.77
146.23820080	34.66123653	24.16	22.04	21.06	20.76	20.40
146.24227850	34.65910540	20.22	19.04	18.48	18.22	18.11
146.25037506	34.66471120	14.07	12.65	11.44	12.07	12.13
146.25700229	34.66069515	22.32	22.39	22.16	21.67	21.65
146.25827835	34.66249661	22.13	20.98	19.37	18.68	18.36
146.28499794	34.70706656	22.10	21.04	20.11	19.69	19.58
146.11317768	34.70986997	21.54	21.29	21.29	21.49	21.22
146.11615840	34.71341292	21.94	20.74	19.32	18.75	18.36
146.16431250	34.73644810	21.10	20.08	19.00	18.47	18.17
146.23733450	34.73592805	22.32	21.51	21.08	21.12	20.92
146.27179432	34.73477461	22.11	21.02	19.65	19.08	18.78
146.18819439	34.78597260	23.02	22.19	21.75	21.66	21.88
146.21043696	34.79067469	18.97	18.95	18.98	18.88	18.64
146.21402088	34.79111530	24.05	22.42	21.75	21.39	21.38
146.27631911	34.66314153	20.07	18.79	17.49	16.85	16.50
146.13777843	34.66668919	20.82	20.38	20.25	20.12	20.20
146.15032642	34.67021493	20.80	20.58	20.57	20.55	20.63
146.15179752	34.66802144	21.72	21.22	21.06	20.92	21.05
146.19140018	34.67283290	20.75	19.39	18.57	18.10	17.88
146.19762963	34.66725761	23.15	21.75	21.16	20.87	20.82
